Sample: NiMnInSn
time          time2         time3         T control     T sample      Field (T)
05:52:55      05:52:55      05:52:55      254.999       250.726       0.0000
05:52:56      05:52:56      05:52:56      254.999       250.725       0.0000
05:52:57      05:52:57      05:52:57      254.998       250.725       0.0000
05:52:58      05:52:58      05:52:58      254.999       250.727       0.0000
05:52:59      05:52:59      05:52:59      254.998       250.725       0.0000
05:53:00      05:53:00      05:53:00      254.999       250.728       0.0000
05:53:01      05:53:01      05:53:01      254.999       250.727       0.0000
05:53:02      05:53:02      05:53:02      254.997       250.727       0.0000
05:53:03      05:53:03      05:53:03      254.998       250.726       0.0000
05:53:04      05:53:04      05:53:04      254.999       250.724       0.0000
05:53:05      05:53:05      05:53:05      254.999       250.721       0.0000
05:53:06      05:53:06      05:53:06      254.999       250.721       0.0000
05:53:07      05:53:07      05:53:07      254.998       250.721       0.0000
05:53:08      05:53:08      05:53:08      254.998       250.719       0.0000
05:53:09      05:53:09      05:53:09      254.998       250.716       0.0000
05:53:11      05:53:11      05:53:11      254.998       250.716       0.0000
05:53:12      05:53:12      05:53:12      254.998       250.717       0.0000
05:53:13      05:53:13      05:53:13      254.998       250.719       0.0000
05:53:14      05:53:14      05:53:14      254.998       250.716       0.0000
05:53:15      05:53:15      05:53:15      254.998       250.720       0.0000
05:53:16      05:53:16      05:53:16      254.998       250.718       0.0000
05:53:17      05:53:17      05:53:17      254.998       250.720       0.0000
05:53:18      05:53:18      05:53:18      254.998       250.722       0.0000
05:53:19      05:53:19      05:53:19      254.999       250.718       0.0000
05:53:20      05:53:20      05:53:20      255.000       250.716       0.0000
05:53:21      05:53:21      05:53:21      255.000       250.717       0.0000
05:53:22      05:53:22      05:53:22      255.001       250.720       0.0000
05:53:23      05:53:23      05:53:23      255.000       250.718       0.0000
05:53:24      05:53:24      05:53:24      255.000       250.713       0.0000
05:53:25      05:53:25      05:53:25      255.000       250.717       0.0000
05:53:26      05:53:26      05:53:26      254.998       250.715       0.0000
05:53:27      05:53:27      05:53:27      255.000       250.718       0.0000
05:53:28      05:53:28      05:53:28      254.999       250.722       0.0000
05:53:29      05:53:29      05:53:29      255.000       250.723       0.0000
05:53:30      05:53:30      05:53:30      255.000       250.722       0.0000
05:53:32      05:53:32      05:53:32      255.000       250.723       0.0000
